date,population,residential,public_litter_bins,dumped_rubbish,street_sweepings,mattresses,commingled_recycling,cardboard,hardwaste_to_landfill,hardwaste_recovered,hardwaste_total,green_waste,total_waste
2012/12/1,110076,1842.44,403.77,197.42,388.76,214,573.32,198.34,32.12,0,32.12,3.32,3639.49
2013/1/1,116431,1735.06,361.51,157.56,451.86,138,564.1,172.92,61.94,0,61.94,3.62,3508.57
2013/2/1,116431,2173.34,367.54,147.92,348.9,197,502.66,160.5,32.72,0,32.72,3.88,3737.46
2013/3/1,116431,1669.94,382.81,126.38,373.76,149,518,174.8,43.44,0,43.44,2.44,3291.57
2013/4/1,116431,1752.37,349.78,114.28,466.3,123,487.56,194.7,48.1,0,48.1,4.34,3417.43
2013/5/1,116431,1737.86,388.48,163.96,623.56,134,480.34,187,46.18,0,46.18,3.14,3630.52
2013/6/1,116431,1434.32,345.62,139.6,472.36,194,463.66,171.77,36.6,0,36.6,4.92,3068.85
2013/7/1,116431,1813.02,399.62,117.92,441.99,116,555.58,217.61,35.36,0,35.36,2.92,3584.02
2013/8/1,116431,1757.26,404.82,100,290.22,221,537.28,190.51,42.28,0,42.28,2.74,3325.11
2013/9/1,116431,2026.2,241.03,200.91,409.92,146,515.04,182.22,48.86,0,48.86,5.2,3629.38
2013/10/1,116431,1790.98,433.48,123.26,463.92,184,562.06,236.64,41.86,0,41.86,4.46,3656.66
2013/11/1,116431,1730.5,447.41,106.18,367.92,171,556.72,204.7,77.46,0,77.46,6.74,3497.63
2013/12/1,116431,1876.5,455.87,117,391.98,163,605.46,298.72,41.12,0,41.12,4.24,3790.89
2014/1/1,122207,1867.96,421.42,156.52,407.08,176,601.94,168.4,52,0,52,3.22,3678.54
2014/2/1,122207,1785.6,391.3,122.72,380.1,193,549.18,135.66,65.72,0,65.72,3.34,3433.62
2014/3/1,122207,1837.66,385.75,117.88,359.7,202,525.8,168.98,87.86,0,87.86,4.2,3487.83
2014/4/1,122207,1880.06,456.47,120.38,367.58,167,558.38,173.68,42.46,0,42.46,4,3603.01
2014/5/1,122207,1912.48,383.47,180.99,669.93,216,531.46,168.22,68.84,0,68.84,4,3919.39
2014/6/1,122207,2093.58,371.56,137.66,469.77,204,526.92,148.23,74.64,0,74.64,4,3826.36
2014/7/1,122207,1955.66,466.9,144.28,380.88,285,547.94,149.28,68.16,0,68.16,3.74,3716.84
2014/8/1,122207,1836.81,432.82,129.22,343.28,165,540.51,142.13,73.42,0,73.42,3.02,3501.21
2014/9/1,122207,1989.18,446.88,144.1,369.6,176,570.88,174.96,64.08,0,64.08,3.98,3763.66
2014/10/1,122207,1955.32,402.84,129.06,411.72,171,608.62,162.72,51.5,0,51.5,6.98,3728.76
2014/11/1,122207,1877.48,348.9,146.54,329.54,220,555.24,168.98,120.28,0,120.28,7.2,3554.16
2014/12/1,122207,2162.64,383.96,142.72,374.36,287,677.48,200.42,77.46,0,77.46,3.7,4022.74
2015/1/1,137889,1958.38,328.79,147.72,345.68,501,642.18,132.66,85.52,0,85.52,3.52,3644.45
2015/2/1,137889,1867.96,365.13,179.25,307.66,312,558.96,151.02,89.5,0,89.5,2.7,3522.18
2015/3/1,137889,2020.24,417.03,190.92,404.22,301,617.52,167.46,87.9,0,87.9,3.82,3909.11
2015/4/1,137889,1940.78,346.64,200.12,461.9,321,613.58,171.3,80.96,0,80.96,3.04,3818.32
2015/5/1,137889,1822.6,344.11,228.42,541.78,256,553.24,200.78,89.12,0,89.12,4.34,3784.39
2015/6/1,137889,1896,350.14,180.28,359.02,227,612.54,196.7,86.24,11.02,97.26,4.94,3696.88
2015/7/1,137889,1927.88,382.5,147.37,297.56,282,619.4,209.64,73.36,12.84,86.2,3.48,3674.03
2015/8/1,137889,1952.66,324.3,246.5,243.12,362,582.36,173.4,75.6,15.18,90.78,2.84,3615.96
2015/9/1,137889,2028.04,296.48,143.37,281.9,387,611.64,208.36,34.14,21.98,56.12,5.54,3631.45
2015/10/1,137889,1940.72,334.32,168.94,358.26,123,673,196.32,38.3,17.02,55.32,4.88,3731.76
2015/11/1,137889,2139.99,331.5,179.66,381.94,384,698.2,199.5,128.56,25.56,154.12,9.88,4094.79
2015/12/1,137889,2206.7,336.76,190.21,367.18,253,763.89,228.34,40.1,17.08,57.18,2.74,4153
2016/1/1,142705,1987.13,295.7,170.68,296.44,357,715,176.38,33.3,17.36,50.66,3.6,3695.59
2016/2/1,142705,2202.28,281.46,151.18,293,173,708.31,196.96,41.72,19.12,60.84,5.56,3899.59
2016/3/1,142705,2450.44,328.54,169.74,301.46,328,749.2,201.34,41.84,17.74,59.58,1.68,4261.98
2016/4/1,142705,2051.1,302.5,172.09,336.86,256,672.57,189,23.06,28.68,51.74,5.28,3781.14
2016/5/1,142705,2418.2,326.52,200.66,433.06,209,702.07,199.68,19.74,40.92,60.66,3.08,4343.93
2016/6/1,142705,2090.13,293.68,198.94,417.2,362,668.04,201.04,25.8,37.5,63.3,3.32,3935.65
2016/7/1,142705,1993.94,299.38,155.34,282.88,251,642.76,228.58,27.42,36.9,64.32,3.94,3671.14
2016/8/1,142705,2244.62,314.82,148.72,249.12,285,662.92,213.28,48.1,20.76,68.86,3.3,3905.64
