UniqueId,FacilityOrSiteName,Owner,ManagementType,InfrastructureType,FacilityStreetAddress,FacilitySuburbLocality,State,Postcode,Latitude,Longitude,BatteriesRechargeable,BatteriesSingleUse,BatteriesLeadAcid,ComputersAccessories,MobilePhones,PrinterCartridges,Televisions,ElectricalAppliances,ElectricalAppliancesBatteryOperated,ChemicalDrums,Mercury,WhiteGoods
VIC00251,Cohuna Transfer Station,Gannawarra Shire Council,Drop-off,Transfer station,150 Chuggs Road,Cohuna,VIC,3568,-35.834484,144.228175,1,1,1,1,1,1,1,1,1,0,0,1
VIC00252,Western Waste Management Resource Recovery Centre,Western Waste Management ,Drop-off,Transfer station,11-27 Marriner Street,Colac,VIC,3250,-38.3307,143.61032,1,1,1,1,1,1,1,1,1,0,0,1
VIC00257,Colbinabbin Resource Recovery Centre,Campaspe Shire Council,Drop-off,Transfer station,89 Cemetery Road,Colbinabbin,VIC,3559,-36.354871,144.480366,1,1,1,1,1,1,1,1,1,0,0,1
VIC00258,Coldstream Recovery and Waste Transfer Station,Yarra Ranges Shire Council,Drop-off,Transfer station,Corner Ingram Road & Leonard Road,Coldstream,VIC,3770,-37.7382595,145.395006,1,1,1,1,1,1,1,1,1,0,0,1
VIC00259,Coleraine Resource Recovery Centre,Southern Grampians Shire Council,Drop-off,Transfer station,Robertson Street,Coleraine,VIC,3315,-37.60366,141.70162,1,1,1,1,1,1,1,1,1,0,0,1
VIC00261,Combienbar Trailer,East Gippsland Shire Council,Drop-off,Transfer station,Combienbar Road,Combienbar,VIC,3889,-37.438168,148.98117,1,1,1,1,1,1,1,1,1,0,0,1
VIC00267,Suez Corio,Suez Australia Pty Ltd,Drop-off,Transfer station,By Appointment Only,Corio,VIC,3214,-38.066487,144.363823,1,1,1,1,1,1,1,1,1,0,0,1
VIC00268,Corryong Transfer Station,Towong Shire Council,Drop-off,Transfer station,Sugarloaf Road,Corryong,VIC,3707,-36.220985,147.890697,1,1,1,1,1,1,1,1,1,0,0,1
VIC00270,Cowangie Hard Waste Compound ,Mildura Rural City Council,Drop-off,Transfer station,39 Dayman Street,Cowangie,VIC,3506,-35.234878,141.37921,1,1,1,1,1,1,1,1,1,0,0,1
VIC00273,Cowes Recycling Facility,Bass Coast Shire Council,Drop-off,Transfer station,Cnr Settlement Road & Dunsmore Road,Cowes,VIC,3922,-38.45705,145.24819,1,1,1,1,1,1,1,1,1,0,0,1
VIC00290,Creswick Transfer Station,Hepburn Shire Council,Drop-off,Transfer station,32 Anne Street,Creswick,VIC,3363,-37.414729,143.886057,1,1,1,1,1,1,1,1,1,0,0,1
VIC00291,Killarney Transfer Station,Moyne Shire Council,Drop-off,Transfer station,12 Badhams Road,Crossley,VIC,3283,-38.31886,142.29692,1,1,1,1,1,1,1,1,1,0,0,1
